"","Accession","LAB.ID","Customer.ID","Date","T","Corticosterone","E3","BE2","include_in_analysis","sex","month","year","f.month"
"1","906695","1","1","2016-11-14",18.3,"0.04",7.25,52.9,"y","f",11,2016,"11"
"2","906695","54","102","2017-05-30",0.04,"0.04",8.43,64.4,"y","f",5,2017,"5"
"3","906695","72","122","2017-07-25",0.04,"0.04",8.11,84.8,"y","f",7,2017,"7"
"4","906700","2","2","2016-11-14",9.17,"0.04",8.46,77.9,"y","f",11,2016,"11"
"5","906700","50","98","2017-05-30",0.04,"0.04",6.18,39.4,"y","f",5,2017,"5"
"6","906700","69","119","2017-07-25",0.04,"0.04",13.3,76.2,"y","f",7,2017,"7"
"7","906711","6","6","2016-11-14",0.04,"0.04",8.47,72.6,"y","m",11,2016,"11"
"8","906711","81","131","2017-07-30",0.04,"0.04",7.79,74,"y","m",7,2017,"7"
"10","906712","56","105","2017-05-30",0.04,"0.04",7.71,40,"y","f",5,2017,"5"
"11","906712","75","125","2017-07-25",0.04,"0.04",8.02,77.4,"y","f",7,2017,"7"
"12","906736","7","7","2016-11-14",0.04,"0.04",6.4,67.4,"y","m",11,2016,"11"
"13","906736","38","80","2017-05-18",0.04,"0.04",8.06,85.4,"y","m",5,2017,"5"
"14","906736","90","140","2017-07-30",0.04,"0.04",7.27,83.8,"y","m",7,2017,"7"
"15","906738","11","11","2016-11-14",0.04,"0.04",10,96.7,"y","tpf",11,2016,"11"
"16","906738","86","136","2017-07-30",0.04,"0.04",4.61,38.1,"y","tpf",7,2017,"7"
"17","907006","39","83","2017-05-18",0.04,"0.04",0.04,11.1,"y","m",5,2017,"5"
"18","907006","85","135","2017-07-30",0.04,"0.04",6.94,68.7,"y","m",7,2017,"7"
"19","907009","76B","76B","2017-07-25",0.04,"13.1",33.6,431,"2","f",7,2017,"7"
"21","907011","32","74","2017-05-18",0.04,"9.28",10.4,76.5,"y","m",5,2017,"5"
"22","907011","40","84","2017-05-18",0.04,"0.04",8.99,92,"y","m",5,2017,"5"
"23","907011","82","132","2017-07-30",0.04,"0.04",5.36,61.6,"y","m",7,2017,"7"
"24","907024","35","77","2017-05-18",0.04,"0.04",5.15,50.9,"y","m",5,2017,"5"
"25","907024","41","86","2017-05-18",0.04,"22.7",7.48,60.8,"y","m",5,2017,"5"
"26","907024","88","138","2017-07-30",0.04,"0.04",6.14,65.1,"y","m",7,2017,"7"
"27","907034","8","8","2016-11-14",0.04,"0.04",8.28,80.3,"y","m",11,2016,"11"
"28","907034","87","137","2017-07-30",0.04,"0.04",6.98,52.9,"y","m",7,2017,"7"
"30","907046","9","9","2016-11-14",0.04,"0.04",7.77,51.5,"y","m",11,2016,"11"
"33","907051","33","75","2017-05-18",0.04,"0.04",7.49,63.4,"y","m",5,2017,"5"
"34","907051","84","134","2017-07-30",0.04,"0.04",4.12,36.6,"y","m",7,2017,"7"
"35","907057","10","10","2016-11-14",0.04,"0.04",9.49,88.8,"y","m",11,2016,"11"
"36","907057","24","64","2017-05-10",0.04,"0.04",8.57,69.9,"y","m",5,2017,"5"
"37","907057","89","139","2017-07-30",0.04,"0.04",8.56,82.4,"y","m",7,2017,"7"
"38","907077","3","3","2016-11-14",44.3,"0.04",9.68,89.2,"y","f",11,2016,"11"
"39","907077","79B","79B","2017-07-25",0.04,"ND",32,401,"2","f",7,2017,"7"
"40","907078","12","12","2016-11-14",22.7,"13.9",11.2,87.4,"y","tpf",11,2016,"11"
"41","907078","42","88","2017-05-30",0.04,"0.04",7.5,62.2,"y","tpf",5,2017,"5"
"42","907078","74","124","2017-07-25",0.04,"0.04",7.73,65.8,"y","tpf",7,2017,"7"
"43","907080","13","13","2016-11-14",0.04,"0.04",7.3,44.8,"y","tpf",11,2016,"11"
"44","907080","46","94","2017-05-30",0.04,"0.04",5.72,33.9,"y","tpf",5,2017,"5"
"45","907080","59","108","2017-07-25",0.04,"0.04",10.3,74.3,"y","tpf",7,2017,"7"
"46","907081","34","76","2017-05-18",0.04,"0.04",7.24,61.6,"y","m",5,2017,"5"
"47","907081","80B","80B","2017-07-30",0.04,"ND",30.2,390,"2","m",7,2017,"7"
"49","907092","83","133","2017-07-30",0.04,"0.04",7.3,74,"y","m",7,2017,"7"
"50","907190","92","142","2017-07-30",0.04,"0.04",21.9,266,"y","m",7,2017,"7"
"51","907213","4","4","2016-11-14",42.5,"0.04",6.97,75.8,"y","f",11,2016,"11"
"52","907213","73","123","2017-07-25",0.04,"0.04",10.5,111,"y","f",7,2017,"7"
"53","907330","52","100","2017-05-30",8.68,"0.04",5.48,30.3,"y","f",5,2017,"5"
"54","907330","68B","68B","2017-07-25",0.04,"ND",27.2,356,"2","f",7,2017,"7"
"55","907331","57","106","2017-05-30",53.1,"0.04",11.2,63,"y","f",5,2017,"5"
"56","907331","71","121","2017-07-25",0.04,"0.04",10.8,104,"y","f",7,2017,"7"
"57","907352","14","14","2016-11-14",0.04,"0.04",0.1,0.1,"y","tpf",11,2016,"11"
"58","907352","48","96","2017-05-30",0.04,"0.04",7.65,36.7,"y","tpf",5,2017,"5"
"59","907352","60","109","2017-07-25",0.04,"0.04",5.1,47,"y","tpf",7,2017,"7"
"60","907360","5","5","2016-11-14",0.04,"0.04",8.89,75.5,"y","f",11,2016,"11"
"61","907360","51","99","2017-05-30",73.2,"0.04",0.1,0.1,"y","f",5,2017,"5"
"62","907360","67B","67B","2017-07-25",0.04,"ND",29.1,386,"2","f",7,2017,"7"
"63","908136","30","71","2017-05-18",0.04,"0.04",7.67,68,"y","m",5,2017,"5"
"64","908136","91","141","2017-07-30",0.04,"0.04",36.1,320,"y","m",7,2017,"7"
"65","909243","15","15","2016-11-14",0.04,"0.04",11.6,112,"y","tpf",11,2016,"11"
"66","909243","58","107","2017-05-30",0.04,"0.04",8.53,46.3,"y","tpf",5,2017,"5"
"67","909243","78","128","2017-07-25",0.04,"0.04",6.14,70.2,"y","tpf",7,2017,"7"
